0.4000000000000003 ps 
-521.773 -273.394 168.627
816.137 -557.443 -357.797
-194.512 -9.00012 440
-31.8203 403.003 -134.362
-234.354 37.8958 215.007
15.9819 63.4001 -303.917
988.688 697.99 -243.562
-23.1959 -171.277 -30.6241
-75.924 -859.683 821.747
-381.417 106.299 -257.998
-735.335 925.49 -418.024
-76.4877 186.452 -179.991
-164.302 870.215 -802.774
29.0996 -91.7374 16.8117
33.003 -110.167 128.899
-245.118 348.606 -149.39
-423.427 63.14 -1489.08
-11.08 -158.055 459.002
753.613 -1176.27 1674.05
-259.16 331.789 -167.982
-465.311 -6.22367 1557.75
507.894 93.1113 -18.3732
20.8242 565.717 -1063.96
-127.739 -72.0243 205.031
688.699 -702.848 -325.025
59.9713 -78.4696 26.6799
-507.157 377.617 41.2805
318.9 -724.283 507.593
-211.549 294.443 -122.481
537.63 725.981 -1.42204
-219.623 464.869 -153.109
525.858 -308.282 257.031
-396.626 729.135 24.6799
-316.459 -888.496 278.754
237.243 99.4182 -64.1877
-457.211 -264.407 -15.356
327.294 645.319 -1558.51
-788.409 -764.944 -796.031
-72.8414 -61.6821 195.91
-104.069 -766.245 1526.72
-36.8961 48.4126 -82.2201
571.736 757.601 965.849
-437.683 -159.857 -101.238
427.871 98.0048 46.8431
113.048 152.904 -146.75
259.543 56.4908 -494.22
-49.2019 -183.019 -52.4113
40.9903 -68.7684 62.1871
-108.823 -901.878 -173.739
-29.6303 -29.6065 187.381
130.644 84.374 556.697
-42.3437 63.0218 -91.9221
-422.022 622.884 289.078
459.478 -443.36 -723.635
-297.506 -287.388 284.555
132.733 195.993 -227.183
284.773 33.6253 -16.4854
-46.0336 293.729 469.786
108.443 -153.92 -69.9346
-423.022 -375.243 -682.189
-196.17 -534.976 -184.185
384.784 -309.516 743.288
-95.2508 284.898 62.9014
641.82 -965.138 -668.735
-287.278 159.103 -162.286
-110.909 -348.185 -561.239
-5.80525 190.276 410.448
-97.3423 106.314 -232.752
-166.558 372.627 -376.617
65.8911 -93.9324 59.3451
78.8646 -22.8681 -227.219
151.558 221.911 11.293
164.017 -119.625 -7.5638
-45.0044 -94.9851 151.26
-726.89 1157.1 1144.47
-223.976 -192.193 -261.337
705.359 710.458 -24.04
-54.3443 -38.7693 -146.444
-747.397 -1095.73 -39.2858
669.883 618.133 194.134
-124.785 -360.946 -575.791
26.3625 138.719 69.2196
190.145 18.8271 354.409
-175.763 150.56 718.749
-137.769 -264.658 -122.875
-116.262 173.84 -66.507
624.44 -879.229 -1129.61
-323.928 218.696 513.707
-20.3295 592.105 509.591
196.121 505.394 29.1021
125.885 -15.09 -44.9526
-122.754 -1516.53 203.447
74.1806 188.031 139.915
169.831 840.142 -243.116
493.127 -1079.36 761.636
-181.948 493.759 437.1
-71.7063 207.02 12.0279
211.445 -518.002 -216.176
-262.4 259.088 51.8411
-21.6211 61.3774 63.1494
40.6385 28.6629 -148.86
671.03 -904.433 245.869
-516.787 675.435 -298.383
-70.9259 1004.68 49.1833
-398.338 -241.233 -382.241
288.113 -594.37 -186.038
-213.004 305.667 -418.893
183.211 57.6793 91.6067
692.588 865.185 56.4706
-403.465 -732.81 570.848
-238.62 -441.596 210.522
139.934 88.9611 40.6222
-291.402 318.509 -1819.78
325.251 117.316 351.298
-513.871 -349.654 1458.2
176.712 128.907 -1221.49
-59.8192 414.894 475.738
-141.104 154.883 -118.371
-338.526 -228.634 -68.3066
-118.265 -155.45 13.416
63.8467 58.0549 125.974
-72.9928 85.6021 -187.81
655.261 -406.465 17.2812
-514.632 190.064 -301.163
894.65 34.909 136.756
-206.625 11.0698 -112.295
-1019.4 433.013 344.19
158.377 -114.709 72.2609
333.636 -194.934 394.532
96.9181 577.38 -670.28
-929.711 -389.846 310.124
195.381 -159.906 212.447
42.0825 150.565 -292.231
1555.9 -143.536 -214.541
-1247.46 47.1162 108.47
-18.0009 -59.2104 84.4374
